,ArrFlight,ACType,bookload,STD,ATA,ArrRoute,DepRoute
1699,GF182,321,114,2022-03-07 12:01:05,2022-03-07 11:07:12,CDG,DEL
1700,GF053,320,138,2022-03-07 10:24:46,2022-03-07 10:15:07,MED,JIB
1701,GF545,77W,63,2022-03-07 09:58:14,2022-03-07 10:46:50,BLR,ZZZ
1702,3L010,73H,89,2022-03-07 07:06:32,2022-03-07 06:51:57,SAW,JIB
1703,GF013,320,105,2022-03-07 06:48:44,2022-03-07 07:41:24,MAN,BAH
1704,GF212,32N,158,2022-03-07 00:30:48,2022-03-07 00:49:13,DXB,TRV
1705,GF053,73H,108,2022-03-06 22:54:00,2022-03-07 00:29:42,JED,SAW
1706,PC824,77W,127,2022-03-06 19:52:36,2022-03-06 20:13:44,DMM,RUH
1707,GF080,333,161,2022-03-06 18:19:46,2022-03-06 17:12:46,CMN,DMM
1708,GF281,77W,98,2022-03-06 16:08:45,2022-03-06 16:29:22,CDG,HKG
1709,GF184,73G,147,2022-03-06 11:38:18,2022-03-06 13:06:14,KHI,SHJ
1710,GF220,333,130,2022-03-06 10:14:40,2022-03-06 09:03:26,MUX,MCT
1711,SV528,738,274,2022-03-06 04:55:46,2022-03-06 04:56:42,RUH,CCJ
1712,GF070,320,283,2022-03-06 00:52:25,2022-03-06 01:13:01,IST,JED
1713,GF220,320,89,2022-03-05 22:58:07,2022-03-05 23:03:46,JED,DXB
1714,5W7029,32Q,34,2022-03-05 16:09:51,2022-03-05 16:36:10,DXB,MAA
1715,PC824,32Q,50,2022-03-05 13:37:50,2022-03-05 12:40:14,SIN,ELQ
1716,EK837,73G,122,2022-03-05 08:28:18,2022-03-05 08:13:45,NBO,DEL
1717,GF153,321,277,2022-03-05 06:26:56,2022-03-05 06:08:27,MCT,DMM
1718,GF102,332,43,2022-03-05 03:29:51,2022-03-05 04:29:47,KHB,MUX
1719,GF042,321,50,2022-03-05 01:27:13,2022-03-05 01:21:17,SIN,DMM
1720,GF973,332,129,2022-03-04 19:01:04,2022-03-04 18:56:48,LEJ,IST
1721,GF004,32Q,89,2022-03-04 13:29:25,2022-03-04 14:02:25,DMM,KEZ
1722,KU615,738,43,2022-03-04 13:25:05,2022-03-04 13:51:26,BAH,MCT
1723,IX473,320,74,2022-03-04 11:38:36,2022-03-04 10:44:05,NBO,AMM
1724,GF275,32N,97,2022-03-04 10:16:36,2022-03-04 09:52:37,DAC,MAN
1725,GF186,332,46,2022-03-04 09:08:36,2022-03-04 07:30:41,JED,BOM
1726,TK3756,321,60,2022-03-04 06:05:05,2022-03-04 07:36:18,AMM,CVG
1727,GF511,738,147,2022-03-04 05:37:11,2022-03-04 05:06:44,DEL,LCA
1728,MS920,73G,65,2022-03-04 01:22:40,2022-03-04 01:01:35,COK,LEJ
1729,GF013,789,82,2022-03-03 20:33:42,2022-03-03 19:39:06,ADJ,DMM
1730,J9103,333,90,2022-03-03 18:30:49,2022-03-03 17:23:01,DXB,TTH
1731,PC824,77W,159,2022-03-03 15:17:01,2022-03-03 15:23:24,AUH,MCT
1732,GF131,73G,123,2022-03-03 09:46:08,2022-03-03 11:12:49,LUX,DEL
1733,GF145,789,97,2022-03-03 07:17:01,2022-03-03 06:48:49,NBO,DMM
1734,PC824,77W,120,2022-03-03 05:35:45,2022-03-03 04:07:22,COK,LHE
1735,FZ025,333,165,2022-03-03 05:07:29,2022-03-03 04:05:05,AMM,DEL
1736,GF166,7M8,130,2022-03-03 04:52:25,2022-03-03 04:21:14,JED,DXB
1737,GF172,73H,82,2022-03-02 23:12:56,2022-03-02 23:27:16,XJD,MED
1738,FZ023,332,68,2022-03-02 22:48:22,2022-03-02 22:00:37,KHI,IST
1739,GF767,332,65,2022-03-02 22:43:37,2022-03-02 21:54:15,BKK,JED
1740,SV526,73H,117,2022-03-02 21:52:47,2022-03-02 22:30:35,JED,DEL
1741,EK835,32N,122,2022-03-02 16:46:30,2022-03-02 15:23:41,DXB,CDG
1742,GF184,738,216,2022-03-02 15:10:59,2022-03-02 13:42:49,CMN,SIN
1743,H6891,77W,283,2022-03-02 12:53:06,2022-03-02 12:20:21,BOM,CCJ
1744,PC824,320,65,2022-03-02 07:13:02,2022-03-02 07:59:32,LYP,BAH
1745,FZ025,738,63,2022-03-02 04:17:32,2022-03-02 05:32:52,CAI,CCJ
1746,H6891,738,167,2022-03-01 22:59:29,2022-03-01 22:23:16,MNL,BAH
1747,GF170,332,61,2022-03-01 17:55:58,2022-03-01 16:54:09,JED,KMC
1748,GF220,73H,70,2022-03-01 15:18:47,2022-03-01 14:45:15,TTH,SIN
1749,PC824,789,102,2022-03-01 08:43:44,2022-03-01 08:23:02,AMM,MCT
1750,GF174,321,270,2022-03-01 07:41:34,2022-03-01 06:42:10,DXB,KEZ
1751,GF057,321,247,2022-03-01 06:28:30,2022-03-01 06:52:12,JED,DXB
1752,GF166,73H,96,2022-03-01 06:13:34,2022-03-01 05:58:29,DXB,LEJ
1753,GF180,73H,163,2022-03-01 05:17:43,2022-03-01 04:38:33,JED,ISB
1754,GF070,333,150,2022-03-01 01:29:45,2022-03-01 03:00:35,JIB,DEL
1755,GF773,332,54,2022-02-28 23:25:13,2022-03-01 00:52:28,AUH,CAI
1756,GF216,7M8,73,2022-02-28 19:13:41,2022-02-28 19:43:30,DMM,DEL
1757,GF511,789,35,2022-02-28 15:51:48,2022-02-28 14:35:34,DXB,AUH
1758,IX471,73G,236,2022-02-28 10:52:59,2022-02-28 09:45:42,DME,CMN
1759,GF773,32Q,96,2022-02-28 07:49:09,2022-02-28 08:34:47,LEJ,CAI
1760,GF2771,332,154,2022-02-28 04:51:08,2022-02-28 04:06:11,SIN,MCT
1761,G9105,32Q,104,2022-02-28 02:54:57,2022-02-28 02:19:58,DAC,NBO
1762,GF220,321,129,2022-02-28 02:33:11,2022-02-28 02:37:43,IST,MXP
1763,GF044,77W,111,2022-02-28 01:55:16,2022-02-28 00:44:18,JED,MAN
1764,GF511,321,60,2022-02-27 20:08:12,2022-02-27 18:53:48,DXB,LHR
1765,GF102,738,63,2022-02-27 13:30:05,2022-02-27 13:22:34,CDG,SKT
1766,GF567,333,73,2022-02-27 12:51:18,2022-02-27 12:12:16,LHE,AUH
1767,IX471,789,80,2022-02-27 09:52:14,2022-02-27 09:56:26,RUH,KHB
1768,BA125,738,168,2022-02-27 06:07:47,2022-02-27 05:53:55,JED,CAI
1769,GF751,789,97,2022-02-27 05:48:33,2022-02-27 05:12:39,DXB,CAI
1770,LH636,789,120,2022-02-26 23:40:58,2022-02-26 23:42:03,MAA,AMM
1771,GF563,332,135,2022-02-26 20:51:47,2022-02-26 20:20:18,COK,DMM
1772,3L010,738,108,2022-02-26 18:20:47,2022-02-26 18:39:52,JED,BOM
1773,GF135,32N,94,2022-02-26 13:53:37,2022-02-26 12:51:29,DXB,DXB
1774,MS920,320,89,2022-02-26 09:08:18,2022-02-26 10:06:03,JED,JED
1775,GF110,789,108,2022-02-26 05:39:20,2022-02-26 04:15:03,LYP,LEJ
1776,GF131,32Q,149,2022-02-26 03:06:42,2022-02-26 04:02:29,COK,LYP
1777,GF142,32N,135,2022-02-26 02:47:00,2022-02-26 03:33:13,KEZ,DXB
1778,GF251,321,72,2022-02-25 23:51:37,2022-02-26 00:21:51,JED,HYD
1779,GF214,73H,165,2022-02-25 19:26:32,2022-02-25 19:56:34,DXB,KHB
1780,GF018,738,61,2022-02-25 19:00:48,2022-02-25 20:29:33,ZZZ,ISB
1781,GF018,789,76,2022-02-25 17:46:48,2022-02-25 18:45:04,ZZZ,ELQ
1782,GF565,32Q,157,2022-02-25 12:46:07,2022-02-25 12:46:11,DXB,SHJ
1783,GF026,32N,160,2022-02-25 06:42:42,2022-02-25 05:29:02,DXB,ADD
1784,G9101,32N,82,2022-02-25 01:49:02,2022-02-25 02:19:52,KMC,EBL
1785,GF184,32Q,150,2022-02-25 00:27:37,2022-02-24 22:51:02,DMM,HKG
1786,GF184,321,122,2022-02-24 20:49:33,2022-02-24 20:46:07,KHB,AMM
1787,GF070,77W,106,2022-02-24 16:56:50,2022-02-24 16:39:03,BOM,SHJ
1788,PC824,321,157,2022-02-24 10:19:27,2022-02-24 11:10:39,SIN,DXB
1789,FZ025,73G,45,2022-02-24 03:26:19,2022-02-24 03:35:53,CAI,DXB
1790,GF188,320,76,2022-02-23 21:13:30,2022-02-23 20:11:39,AUH,DMM
1791,GF082,789,108,2022-02-23 18:37:40,2022-02-23 18:24:52,ZZZ,TLV
1792,GF015,738,122,2022-02-23 11:59:14,2022-02-23 11:06:37,TBS,DXB
1793,PC824,333,168,2022-02-23 09:08:04,2022-02-23 08:59:16,JED,JED
1794,GF069,73H,51,2022-02-23 02:20:26,2022-02-23 00:42:43,LHR,LHR
1795,GF501,321,98,2022-02-23 00:17:37,2022-02-22 23:20:54,CVG,AUH
1796,TK7674,789,168,2022-02-22 23:17:15,2022-02-22 21:46:45,DXB,MAN
1797,EK837,73G,121,2022-02-22 20:47:49,2022-02-22 20:46:42,HKG,DXB
1798,PC824,333,113,2022-02-22 13:59:43,2022-02-22 15:06:08,BKK,TRV
1799,GF104,321,93,2022-02-22 09:16:22,2022-02-22 09:41:00,DEL,HKG
1800,GF153,332,70,2022-02-22 04:43:44,2022-02-22 03:53:15,DXB,IST
1801,GF277,32N,160,2022-02-21 22:00:18,2022-02-21 20:22:34,MXP,DXB
1802,PC824,32N,78,2022-02-21 19:50:25,2022-02-21 19:10:41,NHD,DXB
1803,GF166,738,89,2022-02-21 17:37:45,2022-02-21 16:10:59,DEL,DEL
1804,GF216,332,125,2022-02-21 13:32:31,2022-02-21 12:24:19,DMM,AMM
1805,GF271,333,70,2022-02-21 11:23:40,2022-02-21 11:32:16,ELQ,AMM
1806,GF561,332,105,2022-02-21 10:51:20,2022-02-21 11:29:37,TTH,RUH
1807,GF767,738,45,2022-02-21 08:02:38,2022-02-21 07:12:13,DXB,AUH
1808,GF016,32Q,168,2022-02-21 07:41:46,2022-02-21 08:30:13,MUX,JED
1809,GF004,738,140,2022-02-21 00:51:11,2022-02-21 00:44:15,MED,DXB
1810,GF945,73H,167,2022-02-20 22:17:00,2022-02-20 22:19:45,MCT,DXB
1811,GF212,32N,160,2022-02-20 18:32:18,2022-02-20 17:40:43,DXB,MCT
1812,GF061,320,147,2022-02-20 18:04:46,2022-02-20 18:39:27,DXB,DXB
1813,PC824,738,34,2022-02-20 16:02:07,2022-02-20 16:19:29,AUH,COK
1814,GF004,73G,35,2022-02-20 12:30:15,2022-02-20 11:33:02,DXB,BOM
1815,GF511,32Q,36,2022-02-20 11:34:04,2022-02-20 11:52:43,MCT,ELQ
1816,G9105,332,29,2022-02-20 05:11:54,2022-02-20 05:11:41,ELQ,NHD
1817,GF789,321,66,2022-02-20 03:59:22,2022-02-20 02:23:24,DEL,JED
1818,GF061,77W,134,2022-02-19 23:18:38,2022-02-20 00:10:32,DXB,DEL
1819,GF567,32Q,160,2022-02-19 18:37:44,2022-02-19 19:10:02,DXB,ISB
1820,6E1403,32N,276,2022-02-19 14:35:40,2022-02-19 15:09:25,DXB,AUH
1821,GF567,320,47,2022-02-19 10:23:11,2022-02-19 09:40:05,BKK,JED
1822,GF543,332,120,2022-02-19 06:49:01,2022-02-19 05:21:14,DXB,DXB
1823,GF004,73H,114,2022-02-19 00:28:33,2022-02-19 01:48:55,KEZ,MAA
1824,GF511,73H,58,2022-02-18 17:33:50,2022-02-18 16:26:46,FRA,BOM
1825,PC824,332,56,2022-02-18 12:58:29,2022-02-18 11:35:13,DME,DAC
1826,G9105,320,284,2022-02-18 09:29:38,2022-02-18 10:10:35,ELQ,HKG
1827,GF945,332,60,2022-02-18 06:12:17,2022-02-18 06:40:18,DXB,BKK
1828,GF541,738,105,2022-02-18 00:23:52,2022-02-17 23:53:29,BAH,LEJ
1829,GF057,333,121,2022-02-17 22:28:22,2022-02-17 22:28:54,DXB,MCT
1830,GF767,7M8,114,2022-02-17 18:03:10,2022-02-17 19:39:29,JED,CAI
1831,GF006,321,135,2022-02-17 12:51:53,2022-02-17 14:10:35,CAI,SHJ
1832,GF561,77W,137,2022-02-17 12:49:43,2022-02-17 11:29:40,NBO,LHR
1833,SV526,321,131,2022-02-17 12:10:27,2022-02-17 11:53:03,JED,JED
1834,PC824,738,135,2022-02-17 11:27:32,2022-02-17 11:41:12,AMM,TTH
1835,GF057,738,108,2022-02-17 10:42:10,2022-02-17 09:43:10,DXB,CAI
1836,GF082,32N,274,2022-02-17 04:01:08,2022-02-17 03:29:09,BOM,LHR
1837,GF277,789,133,2022-02-17 03:15:20,2022-02-17 04:34:03,FRA,MED
1838,GF261,333,120,2022-02-17 00:48:59,2022-02-16 23:35:50,DMM,DXB
1839,KU615,32N,114,2022-02-16 20:39:12,2022-02-16 19:08:09,DXB,DXB
1840,GF561,332,94,2022-02-16 17:39:40,2022-02-16 17:15:33,AUH,SAW
1841,EK837,7M8,93,2022-02-16 13:05:27,2022-02-16 12:35:19,TLV,AUH
1842,OV263,32N,30,2022-02-16 12:13:39,2022-02-16 12:24:16,KWI,LCA
1843,GF2771,321,84,2022-02-16 10:56:34,2022-02-16 11:42:16,KMC,NBO
1844,GF180,333,130,2022-02-16 09:52:56,2022-02-16 08:23:47,KWI,KHI
1845,FZ029,738,89,2022-02-16 06:28:26,2022-02-16 06:46:24,AMM,BOM
1846,GF026,32Q,143,2022-02-16 01:14:51,2022-02-16 02:41:00,DMM,DMM
1847,GF166,332,141,2022-02-16 00:37:58,2022-02-16 01:49:27,IST,TRV
1848,GF2771,320,130,2022-02-15 20:18:17,2022-02-15 21:56:14,HKG,EBL
1849,GF501,73G,60,2022-02-15 18:16:17,2022-02-15 17:39:41,DXB,JED
1850,GF511,333,263,2022-02-15 16:30:34,2022-02-15 15:57:03,DWC,IST
1851,GF184,32Q,100,2022-02-15 10:18:36,2022-02-15 09:45:50,JED,AUH
1852,WY657,333,131,2022-02-15 06:53:50,2022-02-15 05:36:23,JED,AMM
1853,GF070,73G,156,2022-02-15 06:22:00,2022-02-15 06:03:09,MED,TLV
1854,WY655,73G,78,2022-02-15 01:30:28,2022-02-15 02:54:22,MED,NHD
1855,GF216,32N,85,2022-02-14 22:44:11,2022-02-14 21:56:51,SHJ,NSY
1856,GF773,32Q,135,2022-02-14 16:40:34,2022-02-14 16:13:34,LHE,DEL
1857,GF271,321,70,2022-02-14 16:38:23,2022-02-14 17:50:47,RUH,MED
1858,PC824,333,51,2022-02-14 15:00:18,2022-02-14 14:16:04,MED,XJD
1859,GF168,73G,122,2022-02-14 09:42:13,2022-02-14 08:16:43,BOM,LCA
1860,FZ027,32N,130,2022-02-14 06:37:32,2022-02-14 05:40:40,DEL,DXB
1861,J9103,332,170,2022-02-14 06:28:00,2022-02-14 07:09:50,CMN,DXB
1862,BA125,333,241,2022-02-14 03:14:53,2022-02-14 04:37:14,AUH,DXB
1863,GF016,32N,149,2022-02-13 20:41:11,2022-02-13 21:35:12,MAN,KMC
1864,IX471,320,154,2022-02-13 15:01:28,2022-02-13 16:07:19,MAA,ADJ
1865,GF015,7M8,160,2022-02-13 09:12:20,2022-02-13 08:41:45,CCJ,AUH
1866,GF042,738,185,2022-02-13 08:16:51,2022-02-13 09:29:39,DEL,ELQ
1867,GF180,32Q,130,2022-02-13 04:02:39,2022-02-13 04:48:27,SIN,TZX
1868,GF168,738,135,2022-02-12 21:11:29,2022-02-12 22:11:06,TZX,HYD
1869,GF541,332,54,2022-02-12 16:36:15,2022-02-12 15:26:07,ATH,TZX
1870,PC824,321,145,2022-02-12 10:52:17,2022-02-12 11:03:56,DMM,TLV
1871,GF769,738,269,2022-02-12 09:10:46,2022-02-12 08:53:01,LEJ,ELQ
1872,G9105,73G,113,2022-02-12 03:36:37,2022-02-12 02:43:53,DXB,DEL
1873,GF102,738,253,2022-02-12 01:47:07,2022-02-12 00:54:29,LHR,AUH
1874,GF212,738,70,2022-02-11 21:48:43,2022-02-11 22:30:28,DMM,SKT
1875,J9103,321,271,2022-02-11 15:52:52,2022-02-11 16:36:01,DXB,BKK
1876,GF112,320,142,2022-02-11 15:40:45,2022-02-11 15:07:33,ATH,FRA
1877,GF142,73H,80,2022-02-11 13:19:09,2022-02-11 13:27:18,ADD,MXP
1878,GF751,7M8,122,2022-02-11 08:34:44,2022-02-11 07:14:48,CMN,BKK
1879,J9103,333,142,2022-02-11 02:05:34,2022-02-11 02:00:40,CMN,HKG
1880,GF214,7M8,147,2022-02-10 22:08:59,2022-02-10 21:26:32,DXB,AMM
1881,GF180,32Q,149,2022-02-10 21:48:42,2022-02-10 23:20:19,IST,DMM
1882,GF789,73G,67,2022-02-10 17:36:58,2022-02-10 17:56:20,BLR,CMN
1883,GF002,738,96,2022-02-10 16:09:31,2022-02-10 17:44:53,BKK,JED
1884,GF787,320,243,2022-02-10 11:36:10,2022-02-10 10:10:44,JED,JIB
1885,GF767,32Q,159,2022-02-10 08:12:21,2022-02-10 08:12:50,DXB,DMM
1886,GF112,320,88,2022-02-10 06:26:15,2022-02-10 05:12:51,TLV,AUH
1887,GF135,73H,123,2022-02-10 02:43:19,2022-02-10 02:55:16,TBS,MCT
1888,FZ021,789,140,2022-02-09 23:18:02,2022-02-09 23:05:26,MNL,MNL
1889,TK3756,789,127,2022-02-09 21:53:50,2022-02-09 20:27:18,DXB,IST
1890,EY375,320,95,2022-02-09 20:44:25,2022-02-09 21:00:41,MCT,ADD
1891,SV526,77W,39,2022-02-09 20:06:50,2022-02-09 18:42:04,DXB,DXB
1892,GF004,321,141,2022-02-09 17:18:14,2022-02-09 18:18:22,DXB,AUH
1893,GF018,73G,247,2022-02-09 14:29:24,2022-02-09 13:51:35,AUH,CAI
1894,GF184,333,131,2022-02-09 12:17:18,2022-02-09 11:44:30,DME,LEJ
1895,GF102,738,82,2022-02-09 11:51:58,2022-02-09 13:04:10,DXB,MCT
1896,EK835,73G,36,2022-02-09 08:37:15,2022-02-09 09:35:22,AMM,SAW
1897,LH636,321,114,2022-02-09 06:49:25,2022-02-09 07:47:28,SAW,IST
1898,GF545,32N,114,2022-02-09 03:39:28,2022-02-09 05:11:55,ELQ,KHB
1899,GF765,738,137,2022-02-08 21:51:03,2022-02-08 21:28:14,TLV,TZX
1900,FZ021,321,64,2022-02-08 15:07:39,2022-02-08 13:56:57,SAW,MUX
1901,PC824,332,96,2022-02-08 08:26:11,2022-02-08 06:58:57,LEJ,JED
1902,GF277,7M8,131,2022-02-08 06:22:48,2022-02-08 07:01:58,PEW,DXB
1903,GF004,789,66,2022-02-08 04:13:48,2022-02-08 05:00:38,DEL,AMM
1904,GF275,332,271,2022-02-08 01:36:16,2022-02-08 02:37:58,CMN,AKT
1905,GF063,738,85,2022-02-07 21:12:18,2022-02-07 21:47:40,CAI,DXB
1906,GF249,73G,130,2022-02-07 19:51:32,2022-02-07 20:33:15,TTH,MUX
1907,GF044,321,110,2022-02-07 16:30:27,2022-02-07 15:19:27,DXB,KHB
1908,GF261,320,90,2022-02-07 14:11:38,2022-02-07 12:32:41,DEL,DME
1909,GF945,32N,57,2022-02-07 13:05:36,2022-02-07 14:06:18,DXB,BAH
1910,GF567,320,59,2022-02-07 07:34:55,2022-02-07 08:32:46,SIN,DEL
1911,GF965,789,138,2022-02-07 03:05:01,2022-02-07 03:05:31,CAI,PEW
1912,GF945,789,85,2022-02-07 02:42:44,2022-02-07 02:31:55,AUH,DXB
1913,GF026,73G,166,2022-02-06 22:52:17,2022-02-06 21:29:05,LEJ,DAC
1914,PC824,77W,175,2022-02-06 19:19:39,2022-02-06 19:23:10,SHJ,KEZ
1915,GF567,321,148,2022-02-06 12:54:24,2022-02-06 14:16:16,TBS,KHI
1916,5W7029,77W,106,2022-02-06 11:41:59,2022-02-06 10:47:27,DXB,ADJ
1917,GF503,332,142,2022-02-06 09:28:07,2022-02-06 08:03:19,LCA,DMM
1918,GF785,321,243,2022-02-06 06:29:27,2022-02-06 07:45:53,SHJ,SHJ
1919,EK837,321,273,2022-02-05 23:59:07,2022-02-05 22:33:04,CAI,BLR
1920,GF015,333,96,2022-02-05 19:14:22,2022-02-05 18:03:46,IST,CCJ
1921,TK778,73G,45,2022-02-05 16:20:56,2022-02-05 17:25:02,AMM,SAW
1922,GF791,73G,82,2022-02-05 13:59:40,2022-02-05 15:16:04,CAI,DEL
1923,GF174,320,85,2022-02-05 07:18:19,2022-02-05 07:18:26,TRV,JED
1924,GF275,738,277,2022-02-05 04:42:10,2022-02-05 06:13:22,JED,DXB
1925,GF046,73H,93,2022-02-05 03:46:29,2022-02-05 04:44:13,DXB,MUX
1926,GF013,73G,130,2022-02-04 22:20:13,2022-02-04 22:53:15,ELQ,CCJ
1927,FZ021,738,56,2022-02-04 17:02:28,2022-02-04 16:40:29,SAW,LHR
1928,GF789,73G,55,2022-02-04 12:25:01,2022-02-04 13:03:08,TRV,CAI
1929,GF166,333,125,2022-02-04 10:51:35,2022-02-04 12:12:17,PEW,MAA
1930,EY379,73G,111,2022-02-04 04:05:44,2022-02-04 04:19:31,DEL,MNL
1931,GF065,321,150,2022-02-03 22:54:42,2022-02-03 23:23:44,AUH,DEL
1932,PC824,73H,162,2022-02-03 18:02:04,2022-02-03 16:26:47,LHE,NHD
1933,GF026,7M8,84,2022-02-03 14:07:04,2022-02-03 13:27:42,DEL,DXB
1934,GF945,333,105,2022-02-03 09:45:39,2022-02-03 10:00:32,DXB,LEJ
1935,GF507,73G,36,2022-02-03 04:43:27,2022-02-03 03:34:52,MCT,DXB
1936,GF057,738,29,2022-02-02 23:20:10,2022-02-02 23:23:16,DXB,HKG
1937,EY371,333,142,2022-02-02 17:59:23,2022-02-02 19:21:59,SHJ,AUH
1938,GF511,73H,103,2022-02-02 11:47:32,2022-02-02 10:42:56,CAI,ADD
1939,GF180,789,77,2022-02-02 08:29:02,2022-02-02 08:58:14,MAN,AKT
1940,GF283,73H,39,2022-02-02 06:06:51,2022-02-02 06:21:31,JED,IST
1941,GF174,789,100,2022-02-02 01:31:05,2022-02-02 03:04:47,LHR,DXB
1942,GF513,738,160,2022-02-01 21:39:31,2022-02-01 22:00:02,BKK,AUH
1943,PC824,320,271,2022-02-01 16:46:36,2022-02-01 17:19:21,BOM,ZZZ
1944,GF765,321,154,2022-02-01 15:05:46,2022-02-01 15:09:06,IST,AUH
1945,EY375,73H,246,2022-02-01 10:23:55,2022-02-01 10:11:18,DEL,DXB
1946,GF022,321,51,2022-02-01 05:46:14,2022-02-01 06:59:17,DEL,LEJ
1947,GF275,73H,96,2022-02-01 01:21:59,2022-02-01 02:12:45,DXB,DXB
1948,G9101,738,246,2022-02-01 00:07:25,2022-02-01 00:00:13,RUH,AKT
1949,GF503,789,90,2022-01-31 17:55:22,2022-01-31 17:24:40,LUX,TZX
1950,GF006,333,123,2022-01-31 14:44:44,2022-01-31 15:33:55,JED,DAC
1951,6E1403,7M8,126,2022-01-31 12:00:11,2022-01-31 12:49:52,DMM,ELQ
1952,GF070,73H,40,2022-01-31 09:45:06,2022-01-31 09:20:02,ELQ,TZX
1953,OV263,332,159,2022-01-31 04:56:35,2022-01-31 06:17:40,DXB,DEL
1954,GF277,333,142,2022-01-31 00:25:40,2022-01-30 23:54:55,JED,DXB
1955,IX889,73H,126,2022-01-30 23:48:51,2022-01-30 23:55:02,PEW,LHR
1956,PC824,73G,263,2022-01-30 23:28:28,2022-01-30 23:58:58,DXB,BOM
1957,GF220,738,128,2022-01-30 16:51:22,2022-01-30 15:35:09,LEJ,SHJ
1958,GF753,32Q,153,2022-01-30 12:46:33,2022-01-30 11:47:58,LHE,KHB
1959,GF2771,7M8,152,2022-01-30 05:53:49,2022-01-30 05:54:53,JED,BAH
1960,FZ021,738,78,2022-01-29 23:24:40,2022-01-29 22:01:43,ISB,DWC
1961,TK3756,333,125,2022-01-29 21:33:48,2022-01-29 21:55:58,DXB,AMM
1962,GF507,320,129,2022-01-29 20:59:53,2022-01-29 20:36:29,DMM,SHJ
1963,H6891,32N,110,2022-01-29 19:45:38,2022-01-29 18:50:00,LHR,NSY
1964,GF069,321,46,2022-01-29 16:19:36,2022-01-29 15:34:47,NHD,DMM
1965,GF061,320,89,2022-01-29 13:48:12,2022-01-29 14:44:47,SKT,MXP
1966,GF771,789,131,2022-01-29 12:21:01,2022-01-29 13:36:05,KHI,ATH
1967,PK187,738,49,2022-01-29 10:15:12,2022-01-29 10:59:17,EBL,DXB
1968,GF042,789,96,2022-01-29 03:23:01,2022-01-29 03:14:11,HKG,LHR
1969,GF751,789,120,2022-01-28 21:59:24,2022-01-28 21:29:22,CVG,CMN
1970,GF567,7M8,105,2022-01-28 20:09:27,2022-01-28 19:09:01,MCT,LEJ
1971,GF004,320,150,2022-01-28 20:04:32,2022-01-28 20:54:06,CMN,LHR
1972,GF022,32Q,73,2022-01-28 19:40:51,2022-01-28 20:38:04,BLR,DEL
1973,GF110,333,165,2022-01-28 16:24:56,2022-01-28 15:12:30,ZZZ,TZX
1974,SV520,320,135,2022-01-28 13:24:22,2022-01-28 14:50:27,JED,AUH
1975,GF162,333,78,2022-01-28 10:24:43,2022-01-28 08:51:34,IST,DXB
1976,EK839,789,130,2022-01-28 08:03:13,2022-01-28 06:58:27,AUH,BAH
1977,PC824,73G,111,2022-01-28 01:51:29,2022-01-28 01:45:17,SAW,CAI
1978,GF110,789,241,2022-01-28 00:52:47,2022-01-27 23:43:18,DXB,KHB
1979,GF082,7M8,141,2022-01-27 20:37:55,2022-01-27 20:00:33,LHR,DME
1980,PC824,32N,131,2022-01-27 16:02:11,2022-01-27 16:18:08,MUX,DXB
1981,GF174,73H,156,2022-01-27 15:36:31,2022-01-27 14:10:44,KMC,LHE
1982,FZ027,789,100,2022-01-27 10:10:37,2022-01-27 10:10:13,EBL,IST
1983,GF753,32Q,80,2022-01-27 05:50:29,2022-01-27 04:47:17,NHD,DMM
1984,GF184,332,129,2022-01-27 01:52:33,2022-01-27 00:30:59,TRV,KHI
1985,FZ027,32Q,129,2022-01-26 22:17:32,2022-01-26 21:58:48,DXB,BGW
1986,GF505,73H,161,2022-01-26 20:08:57,2022-01-26 20:35:45,AUH,IST
1987,GF277,73G,66,2022-01-26 19:09:06,2022-01-26 18:15:19,DME,BGW
1988,GF565,320,51,2022-01-26 17:31:42,2022-01-26 16:07:04,MED,BOM
1989,GF162,789,78,2022-01-26 12:58:53,2022-01-26 14:35:35,SAW,TRV
1990,PC824,73G,160,2022-01-26 07:03:04,2022-01-26 07:49:40,AUH,CAI
1991,GF184,321,66,2022-01-26 02:17:48,2022-01-26 03:20:06,DXB,MED
1992,FZ029,333,234,2022-01-25 23:24:06,2022-01-25 22:46:32,XJD,TTH
1993,GF022,32N,111,2022-01-25 18:41:43,2022-01-25 17:24:46,RUH,BOM
1994,GF501,320,122,2022-01-25 18:17:05,2022-01-25 16:47:32,DXB,SKT
1995,WY653,333,98,2022-01-25 14:25:30,2022-01-25 15:07:51,HKG,IST
1996,MS920,77W,168,2022-01-25 10:37:58,2022-01-25 10:51:58,DWC,CDG
1997,PC824,789,88,2022-01-25 04:46:56,2022-01-25 04:14:37,JED,CAI
1998,5W7029,32Q,120,2022-01-25 03:47:14,2022-01-25 04:17:21,DEL,AUH
1999,GF170,73H,80,2022-01-25 00:50:23,2022-01-25 02:21:50,DEL,KMC
2000,GF545,320,74,2022-01-24 23:52:29,2022-01-25 00:26:03,LHR,TBS
2001,GF563,321,85,2022-01-24 23:25:28,2022-01-24 22:28:56,HYD,TLV
2002,GF063,32N,185,2022-01-24 21:19:06,2022-01-24 22:08:10,FRA,DMM
2003,GF057,738,130,2022-01-24 21:16:02,2022-01-24 22:17:39,DEL,DXB
2004,GF509,32Q,89,2022-01-24 19:19:31,2022-01-24 17:44:11,IST,MNL
